employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,pauli,faxtor,disc_word,iq,gtq,tiki,mbti_enfj,mbti_enfp,mbti_entj,mbti_entp,mbti_esfj,mbti_esfp,mbti_estj,mbti_estp,mbti_infj,mbti_infp,mbti_intj,mbti_intp,mbti_isfj,mbti_isfp,mbti_istj,mbti_istp,disc_cd,disc_ci,disc_cs,disc_dc,disc_di,disc_ds,disc_ic,disc_id,disc_is,disc_sc,disc_sd,disc_si,papi_a,papi_b,papi_c,papi_d,papi_e,papi_f,papi_g,papi_i,papi_k,papi_l,papi_n,papi_o,papi_p,papi_r,papi_s,papi_t,papi_v,papi_w,papi_x,papi_z,str_responsibility,str_restorative,str_belief,str_deliberative,str_input,str_connectedness,str_analytical,str_activator,str_empathy,str_adaptability,str_individualization,str_harmony,str_strategic,str_includer,str_significance,str_discipline,str_arranger,str_competition,str_maximizer,str_futuristic,str_achiever,str_command,str_woo,str_intellection,str_learner,str_focus,str_ideation,str_relator,str_self_assurance,str_communication,str_developer,str_context,str_consistency,str_positivity,rating_2021,rating_2022,rating_2023,rating_2024,rating_2025,cex_2021,cex_2022,cex_2023,cex_2024,cex_2025,csi_2021,csi_2022,csi_2023,csi_2024,csi_2025,ftc_2021,ftc_2022,ftc_2023,ftc_2024,ftc_2025,gdr_2021,gdr_2022,gdr_2023,gdr_2024,gdr_2025,ids_2021,ids_2022,ids_2023,ids_2024,ids_2025,lie_2021,lie_2022,lie_2023,lie_2024,lie_2025,qdd_2021,qdd_2022,qdd_2023,qdd_2024,qdd_2025,sea_2021,sea_2022,sea_2023,sea_2024,sea_2025,sto_2021,sto_2022,sto_2023,sto_2024,sto_2025,vcu_2021,vcu_2022,vcu_2023,vcu_2024,vcu_2025
EMP100000,Rendra Pratama,806137,1,4,1,6,3,3,2,3,1,64,86,75,Steadiness-Influencer,94.0,33.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,6.0,5.0,5.0,1.0,3.0,5.0,8.0,5.0,7.0,2.0,9.0,3.0,7.0,9.0,3.0,4.0,4.0,2.0,1.0,0,0,0,0,0,0,2,10,7,13,0,0,0,0,8,0,0,11,0,0,0,3,0,1,0,0,6,0,0,4,5,12,0,9,2.0,3.0,1.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,4.0
EMP100001,Wulan Setiawan,476388,4,4,4,5,5,3,1,1,2,16,48,52,Dominant-Steadiness,94.0,17.0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,1.0,7.0,4.0,2.0,2.0,2.0,4.0,6.0,7.0,8.0,9.0,5.0,3.0,3.0,6.0,7.0,1.0,6.0,9.0,14,0,0,1,0,0,0,0,0,10,0,0,6,13,12,5,0,0,0,0,0,7,4,9,0,0,0,3,0,0,8,11,0,2,,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0
EMP100002,Julia Jatmiko Situmorang,941921,1,3,5,1,1,3,1,3,1,58,66,38,Dominant-Conscientious,109.0,20.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,5.0,4.0,2.0,5.0,7.0,2.0,8.0,4.0,5.0,9.0,5.0,3.0,1.0,3.0,9.0,9.0,1.0,4.0,6.0,0,14,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,13,8,0,10,12,0,0,7,0,0,0,0,0,0,0,1,2.0,3.0,3.0,,4.0,3.0,3.0,3.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0
EMP100003,Oka Halim,751615,1,3,4,2,1,1,2,2,5,15,39,63,Steadiness-Influencer,85.0,39.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0,8.0,9.0,2.0,6.0,5.0,3.0,8.0,5.0,3.0,9.0,1.0,8.0,9.0,1.0,1.0,7.0,7.0,4.0,3.0,0,0,14,0,7,5,0,1,0,10,0,0,0,0,3,0,12,0,8,0,0,6,0,13,0,0,0,0,0,9,2,4,0,0,,4.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0
EMP100004,Dwi Pratama,443809,3,4,6,5,3,3,1,1,5,34,75,100,Steadiness-Conscientious,134.0,21.0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,4.0,5.0,3.0,7.0,8.0,9.0,1.0,3.0,7.0,6.0,7.0,1.0,2.0,9.0,2.0,1.0,3.0,6.0,0,0,8,14,0,0,0,3,0,6,0,0,0,4,0,0,0,0,9,0,0,13,12,5,7,0,10,2,1,11,0,0,0,0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0
EMP100005,Bayu Zulfikar,590302,1,1,5,2,3,1,1,3,1,66,69,35,Dominant-Conscientious,130.0,21.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,5.0,4.0,6.0,6.0,7.0,3.0,5.0,5.0,1.0,5.0,5.0,6.0,2.0,8.0,1.0,8.0,2.0,8.0,9.0,5,6,4,11,14,0,0,0,7,0,0,0,0,8,1,0,2,0,0,0,0,0,12,0,3,0,0,13,0,0,0,0,10,0,,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,4.0,3.0
EMP100006,Indra Santoso,826406,1,3,3,2,1,2,1,1,4,82,94,24,Steadiness-Conscientious,139.0,27.0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,9.0,6.0,4.0,6.0,1.0,9.0,3.0,6.0,6.0,2.0,5.0,7.0,3.0,4.0,8.0,6.0,5.0,5.0,7.0,12,0,0,9,14,0,13,0,0,0,0,0,0,0,0,4,2,0,11,0,7,0,0,6,1,0,0,3,10,0,0,0,5,0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0
EMP100007,Rani Mahendra,878510,4,3,4,3,2,2,3,2,1,56,65,45,Dominant-Steadiness,99.0,17.0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2.0,5.0,2.0,2.0,7.0,1.0,7.0,7.0,2.0,7.0,9.0,9.0,9.0,3.0,3.0,5.0,9.0,5.0,6.0,0,0,3,0,0,14,0,0,0,8,6,0,13,4,0,2,0,0,7,0,0,0,1,0,0,10,0,0,0,11,0,5,12,9,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0
EMP100008,Gita Permadi,189647,2,4,3,1,5,1,1,4,1,40,47,97,Influencer-Dominant,137.0,23.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,6.0,2.0,5.0,6.0,3.0,6.0,7.0,4.0,8.0,9.0,1.0,9.0,3.0,7.0,5.0,6.0,1.0,2.0,6.0,0,0,1,0,0,0,0,0,7,0,11,0,0,0,0,6,0,0,0,0,5,0,0,2,0,12,13,3,0,0,4,8,9,10,5.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,5.0,3.0,5.0,3.0,1.0,4.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,5.0,2.0,5.0,3.0,1.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0
EMP100009,Julia Anggara,931718,1,2,5,6,4,1,3,3,2,77,21,84,Dominant-Steadiness,82.0,29.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,3.0,8.0,1.0,4.0,6.0,3.0,4.0,1.0,2.0,9.0,9.0,1.0,6.0,5.0,6.0,3.0,8.0,7.0,9.0,7,0,11,0,0,9,14,0,0,2,0,0,0,0,0,6,0,0,0,0,5,0,0,0,4,0,10,12,8,0,13,0,3,0,,3.0,3.0,4.0,,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,1.0,5.0,3.0,3.0,4.0,2.0
